model,language,question_id,topic_cluster,n_samples,jsd,ci_lower,ci_upper
global,marathi,Q254,inglehart,50,0.3118,0.2119,0.4257
global,marathi,Q45,family_authority,50,0.1827,0.107,0.2889
global,marathi,Q46,inglehart,48,0.2482,0.1695,0.3522
global,marathi,Q49,inglehart,50,0.5744,0.5483,0.6213
global,marathi,Q57,inglehart,50,0.0671,0.0198,0.1411
global,punjabi,Q152,inglehart,50,0.3073,0.2268,0.4206
global,punjabi,Q153,inglehart,50,0.515,0.515,0.515
global,punjabi,Q154,inglehart,50,0.1458,0.1258,0.192
global,punjabi,Q155,inglehart,50,0.0719,0.0719,0.0994
global,punjabi,Q156,inglehart,50,0.2505,0.2035,0.3262
global,punjabi,Q157,inglehart,50,0.3818,0.3615,0.4188
global,punjabi,Q164,religion_morality,50,0.4572,0.4309,0.5075
global,punjabi,Q209,inglehart,50,0.3795,0.2976,0.4731
global,punjabi,Q254,inglehart,50,0.0271,0.0074,0.0798
global,punjabi,Q45,family_authority,50,0.1149,0.0525,0.2102
global,punjabi,Q46,inglehart,49,0.4303,0.3419,0.5142
global,punjabi,Q49,inglehart,50,0.5294,0.5146,0.5706
global,punjabi,Q57,inglehart,50,0.1375,0.0655,0.2215
global,telugu,Q152,inglehart,50,0.39,0.3757,0.4215
global,telugu,Q153,inglehart,50,0.607,0.607,0.607
global,telugu,Q154,inglehart,50,0.293,0.2547,0.3621
global,telugu,Q155,inglehart,50,0.1491,0.1186,0.2099
global,telugu,Q156,inglehart,50,0.1286,0.1198,0.1722
global,telugu,Q157,inglehart,50,0.2685,0.2663,0.2893
global,telugu,Q164,religion_morality,50,0.5094,0.4802,0.556
global,telugu,Q209,inglehart,50,0.196,0.1853,0.2293
global,telugu,Q254,inglehart,50,0.2574,0.1683,0.3757
global,telugu,Q45,family_authority,50,0.0309,0.0071,0.0921
global,telugu,Q46,inglehart,50,0.2337,0.152,0.3535
global,telugu,Q49,inglehart,50,0.3474,0.3146,0.4116
global,telugu,Q57,inglehart,50,0.1582,0.0804,0.2657
