model,question_id,topic_cluster,lang_pair,model_pairwise_jsd,human_pairwise_jsd
fire,Q57,inglehart,punjabi_telugu,0.0,0.0001
global,Q57,inglehart,bengali_hindi,0.0188,0.0274
global,Q57,inglehart,bengali_marathi,0.0003,0.0301
global,Q57,inglehart,bengali_punjabi,0.0073,0.016
global,Q57,inglehart,bengali_telugu,0.0105,0.0133
global,Q57,inglehart,hindi_marathi,0.0145,0.0001
global,Q57,inglehart,hindi_punjabi,0.0027,0.0016
global,Q57,inglehart,hindi_telugu,0.0012,0.0026
global,Q57,inglehart,marathi_punjabi,0.0047,0.0023
global,Q57,inglehart,marathi_telugu,0.0073,0.0036
global,Q57,inglehart,punjabi_telugu,0.0003,0.0001
earth,Q57,inglehart,bengali_hindi,0.0,0.0274
earth,Q57,inglehart,bengali_marathi,0.0,0.0301
earth,Q57,inglehart,bengali_punjabi,0.0,0.016
earth,Q57,inglehart,bengali_telugu,0.0,0.0133
earth,Q57,inglehart,hindi_marathi,0.0,0.0001
earth,Q57,inglehart,hindi_punjabi,0.0,0.0016
earth,Q57,inglehart,hindi_telugu,0.0,0.0026
earth,Q57,inglehart,marathi_punjabi,0.0,0.0023
earth,Q57,inglehart,marathi_telugu,0.0,0.0036
earth,Q57,inglehart,punjabi_telugu,0.0,0.0001
fire,Q153,inglehart,bengali_hindi,0.0,0.0222
fire,Q153,inglehart,bengali_marathi,0.0,0.018
fire,Q153,inglehart,bengali_punjabi,0.0,0.0461
fire,Q153,inglehart,bengali_telugu,0.0,0.0267
fire,Q153,inglehart,hindi_marathi,0.0,0.0124
fire,Q153,inglehart,hindi_punjabi,0.0,0.0142
fire,Q153,inglehart,hindi_telugu,0.0,0.0103
fire,Q153,inglehart,marathi_punjabi,0.0,0.0085
fire,Q153,inglehart,marathi_telugu,0.0,0.027
fire,Q153,inglehart,punjabi_telugu,0.0,0.0324
global,Q153,inglehart,bengali_hindi,0.0,0.0222
global,Q153,inglehart,bengali_marathi,0.0,0.018
global,Q153,inglehart,bengali_punjabi,0.0,0.0461
global,Q153,inglehart,bengali_telugu,0.0,0.0267
global,Q153,inglehart,hindi_marathi,0.0,0.0124
global,Q153,inglehart,hindi_punjabi,0.0,0.0142
global,Q153,inglehart,hindi_telugu,0.0,0.0103
global,Q153,inglehart,marathi_punjabi,0.0,0.0085
global,Q153,inglehart,marathi_telugu,0.0,0.027
global,Q153,inglehart,punjabi_telugu,0.0,0.0324
earth,Q153,inglehart,bengali_hindi,0.0,0.0222
earth,Q153,inglehart,bengali_marathi,0.0,0.018
earth,Q153,inglehart,bengali_punjabi,0.0,0.0461
earth,Q153,inglehart,bengali_telugu,0.0,0.0267
earth,Q153,inglehart,hindi_marathi,0.0,0.0124
earth,Q153,inglehart,hindi_punjabi,0.0,0.0142
earth,Q153,inglehart,hindi_telugu,0.0,0.0103
earth,Q153,inglehart,marathi_punjabi,0.0,0.0085
earth,Q153,inglehart,marathi_telugu,0.0,0.027
earth,Q153,inglehart,punjabi_telugu,0.0,0.0324
fire,Q156,inglehart,bengali_hindi,0.0,0.0045
fire,Q156,inglehart,bengali_marathi,0.0,0.0927
fire,Q156,inglehart,bengali_punjabi,0.0,0.0114
fire,Q156,inglehart,bengali_telugu,0.0,0.0468
fire,Q156,inglehart,hindi_marathi,0.0,0.0704
fire,Q156,inglehart,hindi_punjabi,0.0,0.0199
fire,Q156,inglehart,hindi_telugu,0.0,0.0233
fire,Q156,inglehart,marathi_punjabi,0.0,0.0705
fire,Q156,inglehart,marathi_telugu,0.0,0.072
fire,Q156,inglehart,punjabi_telugu,0.0,0.0789
global,Q156,inglehart,bengali_hindi,0.1243,0.0045
global,Q156,inglehart,bengali_marathi,0.0912,0.0927
global,Q156,inglehart,bengali_punjabi,0.1579,0.0114
global,Q156,inglehart,bengali_telugu,0.1475,0.0468
global,Q156,inglehart,hindi_marathi,0.0218,0.0704
global,Q156,inglehart,hindi_punjabi,0.0042,0.0199
global,Q156,inglehart,hindi_telugu,0.0155,0.0233
global,Q156,inglehart,marathi_punjabi,0.0438,0.0705
global,Q156,inglehart,marathi_telugu,0.0687,0.072
global,Q156,inglehart,punjabi_telugu,0.0083,0.0789
earth,Q156,inglehart,bengali_hindi,0.0,0.0045
earth,Q156,inglehart,bengali_marathi,0.0,0.0927
earth,Q156,inglehart,bengali_punjabi,0.0,0.0114
earth,Q156,inglehart,bengali_telugu,0.0,0.0468
earth,Q156,inglehart,hindi_marathi,0.0,0.0704
earth,Q156,inglehart,hindi_punjabi,0.0,0.0199
earth,Q156,inglehart,hindi_telugu,0.0,0.0233
earth,Q156,inglehart,marathi_punjabi,0.0,0.0705
earth,Q156,inglehart,marathi_telugu,0.0,0.072
earth,Q156,inglehart,punjabi_telugu,0.0,0.0789
fire,Q152,inglehart,bengali_hindi,0.5373,0.049
fire,Q152,inglehart,bengali_marathi,0.0,0.0152
fire,Q152,inglehart,bengali_punjabi,0.0,0.15
fire,Q152,inglehart,bengali_telugu,0.4142,0.0419
fire,Q152,inglehart,hindi_marathi,0.5373,0.0118
fire,Q152,inglehart,hindi_punjabi,0.5373,0.041
fire,Q152,inglehart,hindi_telugu,0.012,0.0874
fire,Q152,inglehart,marathi_punjabi,0.0,0.081
fire,Q152,inglehart,marathi_telugu,0.4142,0.0449
fire,Q152,inglehart,punjabi_telugu,0.4142,0.1505
global,Q152,inglehart,bengali_hindi,0.1441,0.049
global,Q152,inglehart,bengali_marathi,0.085,0.0152
global,Q152,inglehart,bengali_punjabi,0.1441,0.15
global,Q152,inglehart,bengali_telugu,0.2956,0.0419
global,Q152,inglehart,hindi_marathi,0.011,0.0118
global,Q152,inglehart,hindi_punjabi,0.0,0.041
global,Q152,inglehart,hindi_telugu,0.0379,0.0874
global,Q152,inglehart,marathi_punjabi,0.011,0.081
global,Q152,inglehart,marathi_telugu,0.0878,0.0449
global,Q152,inglehart,punjabi_telugu,0.0379,0.1505
earth,Q152,inglehart,bengali_hindi,0.3438,0.049
earth,Q152,inglehart,bengali_marathi,0.0,0.0152
earth,Q152,inglehart,bengali_punjabi,0.0,0.15
earth,Q152,inglehart,bengali_telugu,0.3113,0.0419
earth,Q152,inglehart,hindi_marathi,0.3438,0.0118
earth,Q152,inglehart,hindi_punjabi,0.3438,0.041
earth,Q152,inglehart,hindi_telugu,0.0012,0.0874
earth,Q152,inglehart,marathi_punjabi,0.0,0.081
earth,Q152,inglehart,marathi_telugu,0.3113,0.0449
earth,Q152,inglehart,punjabi_telugu,0.3113,0.1505
fire,Q46,inglehart,bengali_hindi,0.0,0.0105
fire,Q46,inglehart,bengali_marathi,0.0,0.0356
fire,Q46,inglehart,bengali_punjabi,0.0,0.0798
fire,Q46,inglehart,bengali_telugu,0.0,0.0189
fire,Q46,inglehart,hindi_marathi,0.0,0.0222
fire,Q46,inglehart,hindi_punjabi,0.0,0.062
fire,Q46,inglehart,hindi_telugu,0.0,0.0058
fire,Q46,inglehart,marathi_punjabi,0.0,0.1103
fire,Q46,inglehart,marathi_telugu,0.0,0.0065
fire,Q46,inglehart,punjabi_telugu,0.0,0.0706
global,Q46,inglehart,bengali_hindi,0.0384,0.0105
global,Q46,inglehart,bengali_marathi,0.0147,0.0356
global,Q46,inglehart,bengali_punjabi,0.0135,0.0798
global,Q46,inglehart,bengali_telugu,0.0115,0.0189
global,Q46,inglehart,hindi_marathi,0.0123,0.0222
global,Q46,inglehart,hindi_punjabi,0.0178,0.062
global,Q46,inglehart,hindi_telugu,0.0315,0.0058
global,Q46,inglehart,marathi_punjabi,0.0019,0.1103
global,Q46,inglehart,marathi_telugu,0.0175,0.0065
global,Q46,inglehart,punjabi_telugu,0.0257,0.0706
earth,Q46,inglehart,bengali_hindi,0.0,0.0105
earth,Q46,inglehart,bengali_marathi,0.0,0.0356
earth,Q46,inglehart,bengali_punjabi,0.0,0.0798
earth,Q46,inglehart,bengali_telugu,0.0,0.0189
earth,Q46,inglehart,hindi_marathi,0.0,0.0222
earth,Q46,inglehart,hindi_punjabi,0.0,0.062
earth,Q46,inglehart,hindi_telugu,0.0,0.0058
earth,Q46,inglehart,marathi_punjabi,0.0,0.1103
earth,Q46,inglehart,marathi_telugu,0.0,0.0065
earth,Q46,inglehart,punjabi_telugu,0.0,0.0706
fire,Q254,inglehart,bengali_hindi,0.4726,0.0336
fire,Q254,inglehart,bengali_marathi,0.2803,0.0751
fire,Q254,inglehart,bengali_punjabi,0.3273,0.0299
fire,Q254,inglehart,bengali_telugu,0.4142,0.0576
fire,Q254,inglehart,hindi_marathi,0.0359,0.0153
fire,Q254,inglehart,hindi_punjabi,0.0193,0.1137
fire,Q254,inglehart,hindi_telugu,0.0029,0.0066
fire,Q254,inglehart,marathi_punjabi,0.0026,0.1746
fire,Q254,inglehart,marathi_telugu,0.0187,0.0026
fire,Q254,inglehart,punjabi_telugu,0.0074,0.1536
global,Q254,inglehart,bengali_hindi,0.0161,0.0336
global,Q254,inglehart,bengali_marathi,0.0051,0.0751
global,Q254,inglehart,bengali_punjabi,0.0278,0.0299
global,Q254,inglehart,bengali_telugu,0.0276,0.0576
global,Q254,inglehart,hindi_marathi,0.0032,0.0153
global,Q254,inglehart,hindi_punjabi,0.0259,0.1137
global,Q254,inglehart,hindi_telugu,0.0018,0.0066
global,Q254,inglehart,marathi_punjabi,0.021,0.1746
global,Q254,inglehart,marathi_telugu,0.0095,0.0026
global,Q254,inglehart,punjabi_telugu,0.0371,0.1536
earth,Q254,inglehart,bengali_hindi,0.3607,0.0336
earth,Q254,inglehart,bengali_marathi,0.2956,0.0751
earth,Q254,inglehart,bengali_punjabi,0.378,0.0299
earth,Q254,inglehart,bengali_telugu,0.3438,0.0576
earth,Q254,inglehart,hindi_marathi,0.0046,0.0153
earth,Q254,inglehart,hindi_punjabi,0.0003,0.1137
earth,Q254,inglehart,hindi_telugu,0.0003,0.0066
earth,Q254,inglehart,marathi_punjabi,0.0073,0.1746
earth,Q254,inglehart,marathi_telugu,0.0026,0.0026
earth,Q254,inglehart,punjabi_telugu,0.0012,0.1536
fire,Q154,inglehart,bengali_hindi,0.0767,0.0025
fire,Q154,inglehart,bengali_marathi,0.1853,0.0203
fire,Q154,inglehart,bengali_punjabi,0.1753,0.0486
fire,Q154,inglehart,bengali_telugu,0.0292,0.0046
fire,Q154,inglehart,hindi_marathi,0.3902,0.0324
fire,Q154,inglehart,hindi_punjabi,0.2577,0.0348
fire,Q154,inglehart,hindi_telugu,0.0141,0.0016
fire,Q154,inglehart,marathi_punjabi,0.5075,0.0798
fire,Q154,inglehart,marathi_telugu,0.3133,0.0392
fire,Q154,inglehart,punjabi_telugu,0.1842,0.031
global,Q154,inglehart,bengali_hindi,0.1006,0.0025
global,Q154,inglehart,bengali_marathi,0.0088,0.0203
global,Q154,inglehart,bengali_punjabi,0.0092,0.0486
global,Q154,inglehart,bengali_telugu,0.0101,0.0046
global,Q154,inglehart,hindi_marathi,0.0854,0.0324
global,Q154,inglehart,hindi_punjabi,0.1349,0.0348
global,Q154,inglehart,hindi_telugu,0.0675,0.0016
global,Q154,inglehart,marathi_punjabi,0.0138,0.0798
global,Q154,inglehart,marathi_telugu,0.0082,0.0392
global,Q154,inglehart,punjabi_telugu,0.0322,0.031
earth,Q154,inglehart,bengali_hindi,0.1498,0.0025
earth,Q154,inglehart,bengali_marathi,0.17,0.0203
earth,Q154,inglehart,bengali_punjabi,0.1257,0.0486
earth,Q154,inglehart,bengali_telugu,0.0633,0.0046
earth,Q154,inglehart,hindi_marathi,0.1783,0.0324
earth,Q154,inglehart,hindi_punjabi,0.4496,0.0348
earth,Q154,inglehart,hindi_telugu,0.0561,0.0016
earth,Q154,inglehart,marathi_punjabi,0.4454,0.0798
earth,Q154,inglehart,marathi_telugu,0.254,0.0392
earth,Q154,inglehart,punjabi_telugu,0.2519,0.031
fire,Q157,inglehart,bengali_hindi,0.0,0.0152
fire,Q157,inglehart,bengali_marathi,0.0,0.084
fire,Q157,inglehart,bengali_punjabi,0.0,0.0268
fire,Q157,inglehart,bengali_telugu,0.0,0.0131
fire,Q157,inglehart,hindi_marathi,0.0,0.0304
fire,Q157,inglehart,hindi_punjabi,0.0,0.0374
fire,Q157,inglehart,hindi_telugu,0.0,0.0076
fire,Q157,inglehart,marathi_punjabi,0.0,0.1063
fire,Q157,inglehart,marathi_telugu,0.0,0.0413
fire,Q157,inglehart,punjabi_telugu,0.0,0.0383
global,Q157,inglehart,bengali_hindi,0.0142,0.0152
global,Q157,inglehart,bengali_marathi,0.0073,0.084
global,Q157,inglehart,bengali_punjabi,0.0026,0.0268
global,Q157,inglehart,bengali_telugu,0.0142,0.0131
global,Q157,inglehart,hindi_marathi,0.0012,0.0304
global,Q157,inglehart,hindi_punjabi,0.0046,0.0374
global,Q157,inglehart,hindi_telugu,0.0,0.0076
global,Q157,inglehart,marathi_punjabi,0.0012,0.1063
global,Q157,inglehart,marathi_telugu,0.0012,0.0413
global,Q157,inglehart,punjabi_telugu,0.0046,0.0383
earth,Q157,inglehart,bengali_hindi,0.0,0.0152
earth,Q157,inglehart,bengali_marathi,0.0,0.084
earth,Q157,inglehart,bengali_punjabi,0.0,0.0268
earth,Q157,inglehart,bengali_telugu,0.0,0.0131
earth,Q157,inglehart,hindi_marathi,0.0,0.0304
earth,Q157,inglehart,hindi_punjabi,0.0,0.0374
earth,Q157,inglehart,hindi_telugu,0.0,0.0076
earth,Q157,inglehart,marathi_punjabi,0.0,0.1063
earth,Q157,inglehart,marathi_telugu,0.0,0.0413
earth,Q157,inglehart,punjabi_telugu,0.0,0.0383
fire,Q164,religion_morality,bengali_hindi,0.2782,0.0092
fire,Q164,religion_morality,bengali_marathi,0.2136,0.0161
fire,Q164,religion_morality,bengali_punjabi,0.0112,0.0525
fire,Q164,religion_morality,bengali_telugu,0.2723,0.0119
fire,Q164,religion_morality,hindi_marathi,0.017,0.0185
fire,Q164,religion_morality,hindi_punjabi,0.2373,0.0465
fire,Q164,religion_morality,hindi_telugu,0.0029,0.011
fire,Q164,religion_morality,marathi_punjabi,0.165,0.0629
fire,Q164,religion_morality,marathi_telugu,0.0164,0.0167
fire,Q164,religion_morality,punjabi_telugu,0.2318,0.0395
global,Q164,religion_morality,bengali_hindi,0.0385,0.0092
global,Q164,religion_morality,bengali_marathi,0.0268,0.0161
global,Q164,religion_morality,bengali_punjabi,0.0125,0.0525
global,Q164,religion_morality,bengali_telugu,0.0251,0.0119
global,Q164,religion_morality,hindi_marathi,0.0705,0.0185
global,Q164,religion_morality,hindi_punjabi,0.0502,0.0465
global,Q164,religion_morality,hindi_telugu,0.0089,0.011
global,Q164,religion_morality,marathi_punjabi,0.003,0.0629
global,Q164,religion_morality,marathi_telugu,0.032,0.0167
global,Q164,religion_morality,punjabi_telugu,0.0207,0.0395
earth,Q164,religion_morality,bengali_hindi,0.0516,0.0092
earth,Q164,religion_morality,bengali_marathi,0.0293,0.0161
earth,Q164,religion_morality,bengali_punjabi,0.0113,0.0525
earth,Q164,religion_morality,bengali_telugu,0.0475,0.0119
earth,Q164,religion_morality,hindi_marathi,0.1176,0.0185
earth,Q164,religion_morality,hindi_punjabi,0.0194,0.0465
earth,Q164,religion_morality,hindi_telugu,0.0557,0.011
earth,Q164,religion_morality,marathi_punjabi,0.0453,0.0629
earth,Q164,religion_morality,marathi_telugu,0.0372,0.0167
earth,Q164,religion_morality,punjabi_telugu,0.0236,0.0395
fire,Q209,inglehart,bengali_hindi,0.0753,0.0967
fire,Q209,inglehart,bengali_marathi,0.0013,0.0838
fire,Q209,inglehart,bengali_punjabi,0.4726,0.0308
fire,Q209,inglehart,bengali_telugu,0.1069,0.095
fire,Q209,inglehart,hindi_marathi,0.0573,0.0027
fire,Q209,inglehart,hindi_punjabi,0.2087,0.04
fire,Q209,inglehart,hindi_telugu,0.0029,0.0
fire,Q209,inglehart,marathi_punjabi,0.433,0.0249
fire,Q209,inglehart,marathi_telugu,0.0854,0.0022
fire,Q209,inglehart,punjabi_telugu,0.1692,0.0381
global,Q209,inglehart,bengali_hindi,0.0,0.0967
global,Q209,inglehart,bengali_marathi,0.0012,0.0838
global,Q209,inglehart,bengali_punjabi,0.0295,0.0308
global,Q209,inglehart,bengali_telugu,0.0,0.095
global,Q209,inglehart,hindi_marathi,0.0012,0.0027
global,Q209,inglehart,hindi_punjabi,0.0295,0.04
global,Q209,inglehart,hindi_telugu,0.0,0.0
global,Q209,inglehart,marathi_punjabi,0.019,0.0249
global,Q209,inglehart,marathi_telugu,0.0012,0.0022
global,Q209,inglehart,punjabi_telugu,0.0295,0.0381
earth,Q209,inglehart,bengali_hindi,0.2225,0.0967
earth,Q209,inglehart,bengali_marathi,0.0027,0.0838
earth,Q209,inglehart,bengali_punjabi,0.2225,0.0308
earth,Q209,inglehart,bengali_telugu,0.0029,0.095
earth,Q209,inglehart,hindi_marathi,0.2654,0.0027
earth,Q209,inglehart,hindi_punjabi,0.0,0.04
earth,Q209,inglehart,hindi_telugu,0.1821,0.0
earth,Q209,inglehart,marathi_punjabi,0.2654,0.0249
earth,Q209,inglehart,marathi_telugu,0.0111,0.0022
earth,Q209,inglehart,punjabi_telugu,0.1821,0.0381
