id,state,group,artifact,model,guess1,correct1,guess2,correct2,correct_any
maharashtra_68,maharashtra,Marathi,vada pav,tiny-aya-global,Bhel Puri,False,Pav Bhaji,False,False
maharashtra_69,maharashtra,Marathi,powada,tiny-aya-global,Dholi,False,Dandiya Raas,False,False
maharashtra_70,maharashtra,Marathi,lavani,tiny-aya-global,Garba,False,Dandiya Raas,False,False
maharashtra_71,maharashtra,Marathi,sol kadhi,tiny-aya-global,Gulab Jamun,False,Gulab Jamun,False,False
maharashtra_72,maharashtra,Marathi,paithani,tiny-aya-global,Chikankari,False,Phulkari,False,False
maharashtra_73,maharashtra,Marathi,local train,tiny-aya-global,Mumbai Metro,False,Mumbai Metro,False,False
maharashtra_74,maharashtra,Marathi,ajanta caves,tiny-aya-global,Ellora Caves,False,Ans: Ajanta Caves,True,True
maharashtra_75,maharashtra,Marathi,bollywood,tiny-aya-global,Bollywood,True,,False,True
maharashtra_76,maharashtra,Marathi,aam ras,tiny-aya-global,Vada Pav,False,Pav Bhaji,False,False
maharashtra_77,maharashtra,Marathi,tandalachi bhakri,tiny-aya-global,Dosa,False,Idli,False,False
maharashtra_78,maharashtra,Marathi,shirdi,tiny-aya-global,Sai Baba Dandi,False,Ans: Trimbakeshwar,False,False
maharashtra_79,maharashtra,Marathi,aksa beach,tiny-aya-global,Malad Beach,False,Juhu Beach,False,False
maharashtra_80,maharashtra,Marathi,bangda fish curry,tiny-aya-global,Bombil Fry,False,Vada,False,False
maharashtra_81,maharashtra,Marathi,zunka bhakri,tiny-aya-global,Dhokla,False,Pav Bhaji,False,False
maharashtra_82,maharashtra,Marathi,pithla bhakri,tiny-aya-global,Dosa,False,Pav Bhaji,False,False
uttar_pradesh_83,uttar_pradesh,Hindi-Urdu,Charkula,tiny-aya-global,Ghoomar,False,Ghoomar,False,False
uttar_pradesh_84,uttar_pradesh,Hindi-Urdu,Nautanki,tiny-aya-global,Khoj Bazar,False,Garba,False,False
uttar_pradesh_85,uttar_pradesh,Hindi-Urdu,Lucknow Kurta or kurta payjama,tiny-aya-global,Kurta,True,,False,True
uttar_pradesh_86,uttar_pradesh,Hindi-Urdu,petha,tiny-aya-global,Gulab Jamun,False,Kaju Kat,False,False
uttar_pradesh_87,uttar_pradesh,Hindi-Urdu,Thumri,tiny-aya-global,झुलनी,False,झुलनी,False,False
uttar_pradesh_88,uttar_pradesh,Hindi-Urdu,dadra,tiny-aya-global,Bhangra,False,Garba,False,False
uttar_pradesh_89,uttar_pradesh,Hindi-Urdu,Chikankari,tiny-aya-global,Chikankari,True,,False,True
uttar_pradesh_90,uttar_pradesh,Hindi-Urdu,shahnai,tiny-aya-global,Sitar,False,Sarangi,False,False
uttar_pradesh_91,uttar_pradesh,Hindi-Urdu,Banaras or Kashi,tiny-aya-global,Varanasi,False,Ans: Kashi,False,False
uttar_pradesh_92,uttar_pradesh,Hindi-Urdu,Ramlila,tiny-aya-global,Gheri,False,Gheri,False,False
uttar_pradesh_93,uttar_pradesh,Hindi-Urdu,Taj mahal,tiny-aya-global,Taj Mahal,True,,False,True
uttar_pradesh_94,uttar_pradesh,Hindi-Urdu,Kathak,tiny-aya-global,Bharatanatyam,False,Kathakali,True,True
uttar_pradesh_95,uttar_pradesh,Hindi-Urdu,Banarasi Saree,tiny-aya-global,Benarasi saree,False,Kanchipuram saree,False,False
bihar_96,bihar,Hindi-Urdu,gupta dynasty,tiny-aya-global,Mauryan Empire,False,Maurya Empire,False,False
bihar_97,bihar,Hindi-Urdu,litti,tiny-aya-global,Dosa,False,Samosa,False,False
bihar_98,bihar,Hindi-Urdu,litchi,tiny-aya-global,Mango,False,Guava,False,False
bihar_99,bihar,Hindi-Urdu,mithila painting,tiny-aya-global,Mural,False,Madhubani Painting,False,False
bihar_100,bihar,Hindi-Urdu,mahabodhi temple,tiny-aya-global,Bodh Gaya Stupa,False,Mahabodhi Temple,True,True
bihar_101,bihar,Hindi-Urdu,jayaprakash narayan,tiny-aya-global,Janata Dal,False,Janata Dal (United),False,False
bihar_102,bihar,Hindi-Urdu,bodh gaya,tiny-aya-global,Gaya,True,,False,True
bihar_103,bihar,Hindi-Urdu,jhumar,tiny-aya-global,Garba,False,Dandiya Raas,False,False
bihar_104,bihar,Hindi-Urdu,rajendra prasad,tiny-aya-global,Akhilesh Yadav,False,Rajendra Prasad,True,True
bihar_105,bihar,Hindi-Urdu,ganga bridge,tiny-aya-global,Ganga Aarti Bridge,False,Ans: Brahmaputra Bridge,False,False
bihar_106,bihar,Hindi-Urdu,sattu,tiny-aya-global,Chawal,False,Khichdi,False,False
bihar_107,bihar,Hindi-Urdu,maurya dynasty,tiny-aya-global,Mauryan Empire,False,Ans: Maurya Empire,False,False
delhi_108,delhi,Hindi-Urdu,Momos,tiny-aya-global,Dosa,False,Vada,False,False
delhi_109,delhi,Hindi-Urdu,Murthal,tiny-aya-global,Chandni Chowk,False,Ans: Chandni Chowk,False,False
delhi_110,delhi,Hindi-Urdu,Connaught place,tiny-aya-global,Chandni Chowk,False,Ans: Connaught Place,True,True
delhi_111,delhi,Hindi-Urdu,Gedi maarna,tiny-aya-global,Chai Sip,False,Chaat,False,False
delhi_112,delhi,Hindi-Urdu,Jama Masjid,tiny-aya-global,Red Fort,False,Ans: Jama Masjid,True,True
delhi_113,delhi,Hindi-Urdu,Sarojini Market,tiny-aya-global,Chandni Chowk,False,Ans: Chandni Chowk,False,False
delhi_114,delhi,Hindi-Urdu,Hauz khaas,tiny-aya-global,The Lodhi Garden,False,Ans: Connaught Place,False,False
delhi_115,delhi,Hindi-Urdu,Chandani Chowk,tiny-aya-global,Chandni Chowk,False,Ans: Chandni Chowk,False,False
delhi_116,delhi,Hindi-Urdu,Kadhai waala doodh,tiny-aya-global,Gulab Jamun,False,Kulfi,False,False
delhi_117,delhi,Hindi-Urdu,Street food culture,tiny-aya-global,Biryani,False,Dosa,False,False
rajasthan_118,rajasthan,Hindi-Urdu,daal baati,tiny-aya-global,Gatte ki Sabzi,False,Dal Bati Churma,False,False
rajasthan_119,rajasthan,Hindi-Urdu,gatte,tiny-aya-global,Chawal,False,Dosa,False,False
rajasthan_120,rajasthan,Hindi-Urdu,hawa mahal,tiny-aya-global,Hawa Mahal,True,,False,True
rajasthan_121,rajasthan,Hindi-Urdu,ghoomar,tiny-aya-global,Ghoomar,True,,False,True
rajasthan_122,rajasthan,Hindi-Urdu,laal maas,tiny-aya-global,Dal Bati Churma,False,Gatte ki Sabzi,False,False
rajasthan_123,rajasthan,Hindi-Urdu,bhangarh,tiny-aya-global,Chitralekha,False,Chitralekha,False,False
rajasthan_124,rajasthan,Hindi-Urdu,ghewar,tiny-aya-global,Gulab Jamun,False,Kachchi,False,False
rajasthan_125,rajasthan,Hindi-Urdu,keoladeo national park,tiny-aya-global,Keoladeo Bird Sanctuary,False,Ans: Keoladeo National Park,True,True
rajasthan_126,rajasthan,Hindi-Urdu,maal puha,tiny-aya-global,Ghevar,False,Ghevar,False,False
rajasthan_127,rajasthan,Hindi-Urdu,lake pichola,tiny-aya-global,Pichola Lake,False,Ans: Lake Pichola,True,True
rajasthan_128,rajasthan,Hindi-Urdu,chittorgarh palace,tiny-aya-global,Amber Fort,False,Mehrangarh Fort,False,False
andhra_pradesh_0,andhra_pradesh,Telugu,Tirupati Balaji temple,tiny-aya-fire,Vishnu Temple at Tirupati,False,Vishnu Temple at Tirupati,False,False
andhra_pradesh_1,andhra_pradesh,Telugu,Rushi konda beach,tiny-aya-fire,Chilika Beach,False,Ans: Rann of Kutch,False,False
andhra_pradesh_2,andhra_pradesh,Telugu,kakinada kaja,tiny-aya-fire,Jalebi,False,Barfi,False,False
andhra_pradesh_3,andhra_pradesh,Telugu,Prakasam barrage,tiny-aya-fire,Kanaka Durga Bridge,False,Ans: Ranganatha Ramu Bridge,False,False
andhra_pradesh_4,andhra_pradesh,Telugu,kalamkari paintings,tiny-aya-fire,Kalamkalam,False,Madhubani Painting,False,False
andhra_pradesh_5,andhra_pradesh,Telugu,Brass idol of Nataraja in Tirupati,tiny-aya-fire,Gargeesamudra,False,Veera Lakshmi Narasimha Swamy,False,False
andhra_pradesh_6,andhra_pradesh,Telugu,Kuchipudi,tiny-aya-fire,Kuchipudi,True,,False,True
andhra_pradesh_7,andhra_pradesh,Telugu,Ikat Puri weaving,tiny-aya-fire,Kalamkiri,False,Patachitra,False,False
andhra_pradesh_8,andhra_pradesh,Telugu,kondapalli toys,tiny-aya-fire,Wooden dolls,False,Gollu,False,False
andhra_pradesh_9,andhra_pradesh,Telugu,Kamal kadai embroidery,tiny-aya-fire,Kanchipuram,False,Zardozi,False,False
andhra_pradesh_10,andhra_pradesh,Telugu, Kolannalu or kolattam,tiny-aya-fire,Gollu,False,Gudi,False,False
andhra_pradesh_11,andhra_pradesh,Telugu,Mangalagiri Handloom Sarees,tiny-aya-fire,Chunni,False,Pancha,False,False
andhra_pradesh_12,andhra_pradesh,Telugu,chandragiri fort,tiny-aya-fire,Machilipatnam Fort,False,Ans: Amaravati Fort,False,False
andhra_pradesh_13,andhra_pradesh,Telugu,Dharmavaram pattu,tiny-aya-fire,Kanchipuram saree,False,Chilkurthi,False,False
telangana_14,telangana,Telugu,Batukamma/Bathukamma,tiny-aya-fire,Golu,False,Bonalu,False,False
telangana_15,telangana,Telugu,Charminar,tiny-aya-fire,Charminar,True,,False,True
telangana_16,telangana,Telugu,Kakatiya,tiny-aya-fire,Warangal,False,Ans: Warangal Sultans,False,False
telangana_17,telangana,Telugu,Hyderabadi Biryani,tiny-aya-fire,Biryani,True,,False,True
telangana_18,telangana,Telugu,Peddamma gudi,tiny-aya-fire,Charminar,False,Ans: Birla Mandir,False,False
telangana_19,telangana,Telugu,Gadwal saree,tiny-aya-fire,Chandrakant,False,Kamrupa,False,False
telangana_20,telangana,Telugu,Salarjung Mueseum,tiny-aya-fire,Charminar,False,Ans: Birla Mandir,False,False
telangana_21,telangana,Telugu,durries from Warangal,tiny-aya-fire,Warangal Chintal,False,Warangal Chintal,False,False
telangana_22,telangana,Telugu,Hussain Sagar,tiny-aya-fire,Hussain Sagar,True,,False,True
telangana_23,telangana,Telugu,Golconda Fort,tiny-aya-fire,Charminar,False,Ans: Golkonda Fort,False,False
telangana_24,telangana,Telugu,langa voni,tiny-aya-fire,Choli,False,Pattu,False,False
telangana_25,telangana,Telugu,Bonaalu/Bonalu,tiny-aya-fire,Maha Kali Festival,False,Navaratri,False,False
telangana_26,telangana,Telugu,Birla Mandir,tiny-aya-fire,Ramagiri Temple,False,Ans: Ramagiri Temple,False,False
punjab_27,punjab,Punjabi,lassi,tiny-aya-fire,Buttermilk Lassi,True,,False,True
punjab_28,punjab,Punjabi,bhangra,tiny-aya-fire,Giddha,False,Garba,False,False
punjab_29,punjab,Punjabi,lohri,tiny-aya-fire,Lohri,True,,False,True
punjab_30,punjab,Punjabi,basant panchmi,tiny-aya-fire,Vaisakhi,False,Lohri,False,False
punjab_31,punjab,Punjabi,punjabi jutti,tiny-aya-fire,Chappal,False,Chappal,False,False
punjab_32,punjab,Punjabi,virasat e khalsa,tiny-aya-fire,Golden Temple,False,Harmandir Sahib,False,False
punjab_33,punjab,Punjabi,golden temple,tiny-aya-fire,Golden Temple,True,,False,True
punjab_34,punjab,Punjabi,sarson ka saag,tiny-aya-fire,Sanjhi,False,Gajjar Salan,False,False
punjab_35,punjab,Punjabi,paranda,tiny-aya-fire,Kuchcha,False,Bandi,False,False
punjab_36,punjab,Punjabi,baba farid,tiny-aya-fire,Guru Nanak Dev Ji,False,Guru Arjan Dev Ji,False,False
punjab_37,punjab,Punjabi,nakashi,tiny-aya-fire,Zardzi,False,Phulkari,False,False
punjab_38,punjab,Punjabi,saggi phull,tiny-aya-fire,Channar,False,Pagri,False,False
punjab_39,punjab,Punjabi,pakhi,tiny-aya-fire,Chilla,False,Chillā,False,False
punjab_40,punjab,Punjabi,heer ranjha,tiny-aya-fire,Amrit Saagar,False,Patiala Saagar,False,False
punjab_41,punjab,Punjabi,baisakhi,tiny-aya-fire,Vaisakhi,False,Baisakhi,True,True
punjab_42,punjab,Punjabi,dastar,tiny-aya-fire,Turban,False,Keshpata,False,False
punjab_43,punjab,Punjabi,kaintha,tiny-aya-fire,Pagri,False,Turban,False,False
punjab_44,punjab,Punjabi,gurudwara,tiny-aya-fire,Gurdwara,False,Langar,False,False
punjab_45,punjab,Punjabi,turban,tiny-aya-fire,Turban,True,,False,True
punjab_46,punjab,Punjabi,chudha,tiny-aya-fire,Mundhu,False,Phulkarni,False,False
west_bengal_47,west_bengal,Bengali,nabanna,tiny-aya-fire,Calcutta High Court,False,Ans: Calcutta High Court,False,False
west_bengal_48,west_bengal,Bengali,dokra,tiny-aya-fire,Chokha,False,Chokha,False,False
west_bengal_49,west_bengal,Bengali,bamboo craft,tiny-aya-fire,Machha,False,Jute,False,False
west_bengal_50,west_bengal,Bengali,chhau dance,tiny-aya-fire,Durmura,False,Garba,False,False
west_bengal_51,west_bengal,Bengali,kantha,tiny-aya-fire,Chador,False,Chador,False,False
west_bengal_52,west_bengal,Bengali,elish fish fry,tiny-aya-fire,Bhuna Makhana,False,Hilsa Fish Curry,False,False
west_bengal_53,west_bengal,Bengali,wb new,tiny-aya-fire,Butter,False,Ghee,False,False
west_bengal_54,west_bengal,Bengali,jamdani saree,tiny-aya-fire,Noii,False,**Chador**,False,False
west_bengal_55,west_bengal,Bengali,terracotta craft,tiny-aya-fire,Chendai,False,Chhena,False,False
west_bengal_56,west_bengal,Bengali,kirtan,tiny-aya-fire,Chhapangra,False,Gauri Gaatha,False,False
west_bengal_57,west_bengal,Bengali,misti doi,tiny-aya-fire,Mishti doi,False,Rasgulla,False,False
west_bengal_58,west_bengal,Bengali,sundarban,tiny-aya-fire,Sundarbans,True,,False,True
west_bengal_59,west_bengal,Bengali,tant saree,tiny-aya-fire,Bengali Banarasi,False,Ans: Bengali Banarasi,False,False
west_bengal_60,west_bengal,Bengali,patachitra,tiny-aya-fire,Blockprint,False,Ans: Blockprint,False,False
west_bengal_61,west_bengal,Bengali,baul,tiny-aya-fire,**Bhajan**,False,**Bhajan**,False,False
west_bengal_62,west_bengal,Bengali,royal bengal tiger,tiny-aya-fire,Bengal Tiger,True,,False,True
west_bengal_63,west_bengal,Bengali,rabindra sangeet,tiny-aya-fire,Bengali film songs,False,Bhangra,False,False
west_bengal_64,west_bengal,Bengali,najrul geeti,tiny-aya-fire,Bengali folk songs,False,Bhane Bhane Re,False,False
west_bengal_65,west_bengal,Bengali,banga mata,tiny-aya-fire,**Jor Bona**,False,**Jor Bona**,False,False
west_bengal_66,west_bengal,Bengali,kobigaan,tiny-aya-fire,Baul Geet,False,Bhane Bhane Re,False,False
maharashtra_67,maharashtra,Marathi,modak,tiny-aya-fire,Gulab Jamun,False,Khandvi,False,False
maharashtra_68,maharashtra,Marathi,vada pav,tiny-aya-fire,Paratha,False,Pav,False,False
maharashtra_69,maharashtra,Marathi,powada,tiny-aya-fire,Dilbar,False,Bhavai,False,False
maharashtra_70,maharashtra,Marathi,lavani,tiny-aya-fire,Garba,False,Dandiya Raas,False,False
maharashtra_71,maharashtra,Marathi,sol kadhi,tiny-aya-fire,Gudiya,False,Rasgulla,False,False
maharashtra_72,maharashtra,Marathi,paithani,tiny-aya-fire,Chikankari saree,False,Phulkari saree,False,False
maharashtra_73,maharashtra,Marathi,local train,tiny-aya-fire,Mumbai Metro,False,Lokmanya Tilak Terminus,False,False
maharashtra_74,maharashtra,Marathi,ajanta caves,tiny-aya-fire,Ellora Caves,False,Ans: Ajanta Caves,True,True
maharashtra_75,maharashtra,Marathi,bollywood,tiny-aya-fire,Bollywood,True,,False,True
maharashtra_76,maharashtra,Marathi,aam ras,tiny-aya-fire,Vada Pav,False,Rasgulla,False,False
maharashtra_77,maharashtra,Marathi,tandalachi bhakri,tiny-aya-fire,Idli,False,Dosa,False,False
maharashtra_78,maharashtra,Marathi,shirdi,tiny-aya-fire,Sai Nagar,False,Ans: Satsang Nagar,False,False
maharashtra_79,maharashtra,Marathi,aksa beach,tiny-aya-fire,Malad Beach,False,Ans: Bandra Kurla Complex Beach,False,False
maharashtra_80,maharashtra,Marathi,bangda fish curry,tiny-aya-fire,Koli Makhana,False,Koli Fish Curry,False,False
maharashtra_81,maharashtra,Marathi,zunka bhakri,tiny-aya-fire,Dhokla,False,Pav Bhaji,False,False
maharashtra_82,maharashtra,Marathi,pithla bhakri,tiny-aya-fire,Roti,False,Roti,False,False
uttar_pradesh_83,uttar_pradesh,Hindi-Urdu,Charkula,tiny-aya-fire,Ghoomar,False,Garba,False,False
uttar_pradesh_84,uttar_pradesh,Hindi-Urdu,Nautanki,tiny-aya-fire,Garba,False,Dandiya Raas,False,False
uttar_pradesh_85,uttar_pradesh,Hindi-Urdu,Lucknow Kurta or kurta payjama,tiny-aya-fire,Kurta,True,,False,True
uttar_pradesh_86,uttar_pradesh,Hindi-Urdu,petha,tiny-aya-fire,Gulab Jamun,False,Rasgulla,False,False
uttar_pradesh_87,uttar_pradesh,Hindi-Urdu,Thumri,tiny-aya-fire,झुलनी,False,झुलनी,False,False
uttar_pradesh_88,uttar_pradesh,Hindi-Urdu,dadra,tiny-aya-fire,Bhajan,False,Dholki,False,False
uttar_pradesh_89,uttar_pradesh,Hindi-Urdu,Chikankari,tiny-aya-fire,Chikankari,True,,False,True
uttar_pradesh_90,uttar_pradesh,Hindi-Urdu,shahnai,tiny-aya-fire,Tabla,False,Sarangi,False,False
uttar_pradesh_91,uttar_pradesh,Hindi-Urdu,Banaras or Kashi,tiny-aya-fire,Varanasi,False,Ans: Kashi,False,False
uttar_pradesh_92,uttar_pradesh,Hindi-Urdu,Ramlila,tiny-aya-fire,Gharana,False,Chhota Bhoj,False,False
uttar_pradesh_93,uttar_pradesh,Hindi-Urdu,Taj mahal,tiny-aya-fire,Taj Mahal,True,,False,True
uttar_pradesh_94,uttar_pradesh,Hindi-Urdu,Kathak,tiny-aya-fire,Bharatanatyam,False,Odissi,False,False
uttar_pradesh_95,uttar_pradesh,Hindi-Urdu,Banarasi Saree,tiny-aya-fire,Benarasi saree,False,Chikankari saree,False,False
bihar_96,bihar,Hindi-Urdu,gupta dynasty,tiny-aya-fire,Mauryan Dynasty,False,Gupta Dynasty,True,True
bihar_97,bihar,Hindi-Urdu,litti,tiny-aya-fire,Chapati,False,Roti,False,False
bihar_98,bihar,Hindi-Urdu,litchi,tiny-aya-fire,Lichi,False,Amla,False,False
bihar_99,bihar,Hindi-Urdu,mithila painting,tiny-aya-fire,Miniature Painting,False,Madhubani Painting,False,False
bihar_100,bihar,Hindi-Urdu,mahabodhi temple,tiny-aya-fire,Mahabodhi Temple,True,,False,True
bihar_101,bihar,Hindi-Urdu,jayaprakash narayan,tiny-aya-fire,Janata Dal,False,Janata Party,False,False
bihar_102,bihar,Hindi-Urdu,bodh gaya,tiny-aya-fire,Girnarjuniya,False,Ans: Bodh Gaya,True,True
bihar_103,bihar,Hindi-Urdu,jhumar,tiny-aya-fire,Garba,False,Dandiya Raas,False,False
bihar_104,bihar,Hindi-Urdu,rajendra prasad,tiny-aya-fire,No answer found.,False,Rajendra Prasad,True,True
bihar_105,bihar,Hindi-Urdu,ganga bridge,tiny-aya-fire,Ganga Aarti Bridge,False,Ans: Ram Setu,False,False
bihar_106,bihar,Hindi-Urdu,sattu,tiny-aya-fire,Chawalni,False,Besan,False,False
bihar_107,bihar,Hindi-Urdu,maurya dynasty,tiny-aya-fire,Mauryan Empire,False,Ans: Magadha,False,False
delhi_108,delhi,Hindi-Urdu,Momos,tiny-aya-fire,Dosa,False,Vada,False,False
delhi_109,delhi,Hindi-Urdu,Murthal,tiny-aya-fire,Chandni Chowk,False,Ans: Chandni Chowk,False,False
delhi_110,delhi,Hindi-Urdu,Connaught place,tiny-aya-fire,Chandni Chowk,False,Ans: Connaught Place,True,True
delhi_111,delhi,Hindi-Urdu,Gedi maarna,tiny-aya-fire,Chhapra (Chhapaakadana),False,Gharagaari,False,False
delhi_112,delhi,Hindi-Urdu,Jama Masjid,tiny-aya-fire,Red Fort,False,Jama Masjid,True,True
delhi_113,delhi,Hindi-Urdu,Sarojini Market,tiny-aya-fire,Chandni Chowk,False,Ans: Chandni Chowk,False,False
delhi_114,delhi,Hindi-Urdu,Hauz khaas,tiny-aya-fire,Chandni Chowk,False,Ans: Lodhi Garden,False,False
